0,読み,名前,市,説明,効果
1,あたみ,熱海温泉,熱海市,温泉好きの徳川家康が好んで逗留し江戸にも取り寄せていたと言われる名湯で、紺碧の海と山、豊富な温泉に恵まれた温泉都市は、現在では気軽に行ける癒しの温泉場となっている。熱海温泉の神を祭る湯前神社の大祭は例年2月と10月に行われる。【温泉観光スポット　湯前神社入り口前の「大湯」】,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
2,いずさん,伊豆山温泉,熱海市,古来から名湯と呼ばれ海岸の洞窟には日本でも珍しい横穴式源泉があり温泉が川のごとく脇橋っていたとされる。伊豆山に流されていた源頼朝と北条政子が結ばれた地でもある。【温泉観光スポット　「走り湯」】,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・アトピー性皮膚炎・肝臓病・眼病・痔病・動脈硬化・便秘/美肌作用
3,いずゆがわら,伊豆湯河原温泉（泉地区）,熱海市,箱根外輪山から流れる藤木川沿いに発達する山峡の落ち着いた温泉。【温泉観光スポット　「万葉公園」】,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
4,はつしま,初島温泉,熱海市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
5,みなみあたみ,南熱海温泉（網代、伊豆多賀地区）,熱海市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
6,うめぎ,梅木温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
7,おおの,大野温泉,伊豆市,（修善寺、熊坂、大野温泉）温泉街の中心を流れる桂川に架かる五つの朱色の橋や竹林の散歩道など情緒的な雰囲気があり、ギャラリーなどをみて歩ける散策路や外湯もあり、旅館の外に出ても楽しめる。【温泉観光スポット　「独鈷の湯」】,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
8,おどい,小土肥温泉,伊豆市,（土肥、小土肥、八木沢温泉）土肥金山、恋人岬などを観光しながら西伊豆までバスを乗り継いで巡る観光客が多い。共同浴場も9ヵ所あり、ひなびた温泉地の風情を楽しみながら温泉に入るのもいい。【温泉観光スポット　「安楽寺　まぶ湯」鉱山の中から湧き出したといわれる土肥温泉発祥の湯】,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
9,かきぎ,柿木温泉,伊豆市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
10,くまさか,熊坂温泉,伊豆市,（修善寺、熊坂、大野温泉）温泉街の中心を流れる桂川に架かる五つの朱色の橋や竹林の散歩道など情緒的な雰囲気があり、ギャラリーなどをみて歩ける散策路や外湯もあり、旅館の外に出ても楽しめる。【温泉観光スポット　「独鈷の湯」】,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
11,さがさわ,嵯峨沢温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
12,しゅぜんじ,修善寺温泉,伊豆市,（修善寺、熊坂、大野温泉）温泉街の中心を流れる桂川に架かる五つの朱色の橋や竹林の散歩道など情緒的な雰囲気があり、ギャラリーなどをみて歩ける散策路や外湯もあり、旅館の外に出ても楽しめる。【温泉観光スポット　「独鈷の湯」】,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
13,しらいわ,白岩温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
14,つきがせ,月ヶ瀬温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
15,とい,土肥温泉,伊豆市,（土肥、小土肥、八木沢温泉）土肥金山、恋人岬などを観光しながら西伊豆までバスを乗り継いで巡る観光客が多い。共同浴場も4ヵ所あり、ひなびた温泉地の風情を楽しみながら温泉に入るのもいい。【温泉観光スポット　「安楽寺　まぶ湯」鉱山の中から湧き出したといわれる土肥温泉発祥の湯】,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
16,はつま,八幡温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
17,ひえかわ,冷川温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
18,ひめのゆ,姫之湯温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
19,ふなばら,船原温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
20,もちこし,持越温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
21,やぎさわ,八木沢温泉,伊豆市,（土肥、小土肥、八木沢温泉）土肥金山、恋人岬などを観光しながら西伊豆までバスを乗り継いで巡る観光客が多い。共同浴場も4ヵ所あり、ひなびた温泉地の風情を楽しみながら温泉に入るのもいい。【温泉観光スポット　「安楽寺　まぶ湯」鉱山の中から湧き出したといわれる土肥温泉発祥の湯】,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
22,やぐま/あおばね,矢熊/青羽根温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
23,やなせ,柳瀬温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
24,ゆがしま,湯ヶ島温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
25,よしな,吉奈温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
26,わらぼ,原保温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
27,いとう,伊東温泉,伊東市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
28,うさみ,宇佐美温泉,伊東市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
29,こむろ,小室温泉,伊東市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
30,つしま,対島温泉,伊東市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
31,いわた,磐田温泉,磐田市,,不眠/ノイローゼ・眼病・便秘/美肌作用・アトピー性皮膚炎・胃腸病・肝臓病・高血圧症・痔病・不妊症・婦人病・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
32,いじり,居尻温泉,掛川市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
33,くらみ,倉真温泉,掛川市,,不眠/ノイローゼ・便秘/美肌作用・アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
34,くらみあかいし,倉真赤石温泉,掛川市,,不眠/ノイローゼ・便秘/美肌作用・アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
35,だいとう,大東温泉,掛川市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
36,たまり,満水温泉,掛川市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
37,ほうせんじ,法泉寺温泉,掛川市,大河ドラマ「功名が辻」ゆかりの掛川城、小笠山総合運動（エコパ）、掛川茶の販売、日本最大のキウイ観光農園などがある掛川市のほぼ中央に位置し、JR掛川駅からはバスで16分。丘陵に湧く「美人の湯」と言われる温泉はアルカリ性単純温泉。その他に、居尻温泉、倉真温泉、つま恋温泉、大東温泉などレジャー施設型の温泉や日帰り入浴施設もある。,不眠/ノイローゼ・便秘/美肌作用・アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
38,あらいはま,新居浜温泉,浜松市,弁天島の朱色の鳥居や浜名湖の景観を楽しめる温泉地で、中では舘山寺温泉が比較的新しくできた温泉で現在も開発が進み、周辺の遊園地やレジャー施設も充実している。,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
39,いなさ,引佐温泉,浜松市,,不眠/ノイローゼ・便秘/美肌作用・アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
40,いわだけ,岩岳温泉,浜松市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
41,えんしゅうはま,遠州浜温泉,浜松市,,呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・不眠/ノイローゼ・胃腸病
42,かんざし,舘山寺温泉,浜松市,弁天島の朱色の鳥居や浜名湖の景観を楽しめる温泉地で、中では舘山寺温泉が比較的新しくできた温泉で現在も開発が進み、周辺の遊園地やレジャー施設も充実している。,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
43,さんのうきょう,王山峡温泉,浜松市,,不眠/ノイローゼ・便秘/美肌作用・胃腸病・肝臓病・糖尿病/肥満・火傷/外傷
44,にしふじだいら,西藤平温泉,浜松市,,不眠/ノイローゼ・眼病・便秘/美肌作用・アトピー性皮膚炎・胃腸病・肝臓病・高血圧症・痔病・不妊症・婦人病・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
45,べんてんじま,弁天島温泉,浜松市,弁天島の朱色の鳥居や浜名湖の景観を楽しめる温泉地で、中では舘山寺温泉が比較的新しくできた温泉で現在も開発が進み、周辺の遊園地やレジャー施設も充実している。,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
46,むらくし,村櫛温泉,浜松市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
47,ゆうとう,雄踏温泉,浜松市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
48,わかばやし,若林温泉,浜松市,,不眠/ノイローゼ・眼病・便秘/美肌作用・アトピー性皮膚炎・胃腸病・肝臓病・高血圧症・痔病・不妊症・婦人病・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
